sign_id,phrase
1073,Mesma idade
1074,Mesmo tempo
1075,Osso
1076,Ovelha
1077,Palmada
1078,Parecer
1079,Pele
1080,Pesquisar
1081,Picante
1082,Pôr o anel
1083,Porta Corrediça
1085,Química
1086,Religião
1087,Remover
1088,Responsabilidade
1089,Restaurante
1090,Revisão
1091,Rico
1092,Roubar
1093,Sábado
1094,Sabão
1095,Sal comum
1096,Salada
1097,Salvar
1098,Sapato
1099,Secretária
1100,Secretário
1101,Segredo
1102,Segunda vez
1103,Seguro
1104,Sentar
1105,Serpente
1106,Serviço
1107,Sexo
1108,Simples
1109,Sopa
1110,Sorriso
1111,Sorteio
1112,Sul
1113,Também
1114,Tímido
1115,Todo Sábado
1116,Tomate
1117,Trabalho Social
1118,Vender
1119,Ver
1120,Vergonha
1121,Abelha
1122,Agarrar
1123,Agasalho
1124,Agitar
1125,Ainda
1126,Anteriormente
1127,Apito
1128,Aspirar
1129,Assumir
1130,Chá
1131,Chamada por telefone
1132,Cintura
1133,Cócegas
1134,Compreender
1135,Creme dental
1136,Cueca
1137,De cabeça baixa
1138,Decolar
1139,Direto
1140,Ensinar
1141,Escova de dente
1142,Escovar os dentes
1143,Esforço
1144,Esperar
1145,Estimular
1146,Estrutura
1147,Estudo
1148,Expor
1149,Feio
1150,Foguete
1151,Garganta
1152,Grosso
1153,Guarda-chuva
1154,Guerra
1155,Honesto
1156,Investir
1157,Jogar basquetebol
1158,Lançar
1159,Letra T
1160,Letra V
1161,Língua (idioma)
1163,Livra-se
1164,Mau cheiro
1165,Metrô
1167,Parar
1169,Polegar
1170,Pronome
1172,Quer
1173,Quinta-feira
1174,Regata (camisa)
1175,Sacudir
1177,Semestre
1178,Sistema
1179,Substituir
1180,Subtrair
1181,Tabela
1182,Tatuagem
1183,Telefone
1184,Telescópio
1185,Teoria
1186,Terça-feira
1187,Termômetro
1188,Teste
1189,Toalha
1190,Toda quinta-feira
1191,Toda terça-feira
1192,Tomada
1193,Topo
1194,Toque
1195,Torneio
1196,Torrada
1197,Tradição
1198,Trem
1199,Troféu
1200,Vagina
1201,Vapor
1202,Vice-presidente
1203,Vinte e dois
1204,Vinte e um
1205,Violino
1206,Virgem
1207,Visita
1208,Visualizar
1209,Vocabulário
1210,Vomitar
1211,Voto
1212,Voz
1213,Abóbora
1214,Acenar
1215,Adiante
1216,Adquirir
1217,Água
1218,Ajudar
1219,Amarelo
1220,Animal mimado
1221,Ano
1222,Anunciar
1223,Ao redor
1224,Apagar o quadro
1225,Apagar
1226,Aqui
1227,Área
1228,Árvore
1229,Ato de remar
1230,Atrás
1231,Bagunçado
1232,Baleia
1233,Bloquear
1234,Bocejar
1235,Borrifador
1236,Branco
1237,Caloroso
1238,Carrinho de mão
1239,Casamento
1240,Chicote
1241,Colégio
1242,Correr atrás
1243,Desperdício
1244,Deteriorar
1245,Duas semanas
1246,Escrever
1247,Esfregar
1248,Fechar a porta
1249,Flash da câmera
1250,Forte
1251,Fraco
1252,Gastar
1253,Gorila
1254,Grande sucesso
1255,Grosseiro
1256,Irmã
1257,Janela
1258,Jardim de infância
1259,Lápis
1260,Lavar as mãos
1261,Lavar o rosto
1262,Lavar prato
1263,Lavar
1264,Legenda
1265,Letra U
1266,Letra X
1267,Letra Y
1268,Letra Z
1269,Livro
1270,Local
1271,Lugar
1272,Madeira
1273,Máquina de lavar
1274,Máscara
1275,Mastigar
1276,Melância
1277,Morango
1278,Não é problema meu
1279,Nariz escorrendo
1280,Obeso
1281,Oeste
1282,Oficina
1283,Onde
1284,Parede
1286,Passar
1287,Qual
1288,Quando
1289,Quarta-feira
1290,Quem
1291,Reciclar
1292,Recuperar
1293,Retardado Mental
1294,Retorno
1295,Rigoroso
1296,Roda
1297,Ruim
1298,Seguir
1299,Sentença
1300,Separado
1301,Sim
1302,Sobre
1303,Sussurro
1304,Temperatura
1305,Tempo
1306,Toda quarta-feira
1307,Toda semana
1308,Última semana
1309,Uma semana
1310,Universidade
1311,Vento
1312,Verme
1313,Vinho
1314,Xingar
1315,Adiar
1317,Compaixão
1318,Ficha de registro
1319,Impulso (Desejo)
1320,Jarro
1321,Manga curta (de camisa)
1322,Motivo
1323,Passeio
1324,Perspectiva
1325,Programa
1326,Rezar
1327,Sementes de plantas
1328,Solicitar
1329,Tubo
1330,Vingança
1333,Aluno do Segundo Ano do Ensino Médio
1334,Barbear
1335,Bermuda
1336,Bobo
1337,Bota
1338,Cálice
1339,Chuveiro
1340,De vez em quando
1341,Ereto
1342,Escorregadio
1343,Gangorra
1344,Molhado
1345,Patins
1346,Prata
1347,Predizer
1348,Xampu
1349,Ajoelhar
1351,Armazenado
1352,Aumentar
1353,Batida (pancada)
1354,Caixa de som
1355,Cálculo
1356,Canguru
1357,Cordão (colar)
1358,Computador portátil
1359,Conversar consigo mesmo
1360,Corda usada pra pular
1361,Corda
1362,Corte de Cabelo
1363,Cristo
